filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,label
McArdle Rd 275.m4a,0.437533,0.10562483,2049.2226311173645,2124.843482492684,3649.0836721951846,0.1042240330430328,-295.34702,85.24066,12.046719,20.591143,17.24848,6.77016,-4.611873,2.6872213,-8.090435,6.210307,-12.107592,3.5333607,-9.976363,-1.0213965,0.1951606,-0.2320408,-10.018398,-1.8094316,-4.657792,-5.7128005,UnAuthorised
McArdle Rd 254.m4a,0.46189517,0.088371426,2137.5152602406865,2100.740809426557,3711.523869607301,0.1097941440818584,-305.69943,84.29347,10.362083,11.578742,24.10444,6.6555614,-13.781115,11.9316635,-10.419476,5.209945,-9.960444,1.2903699,-5.3152013,-0.10882437,-5.0067267,1.0834239,-12.4320135,-0.09244886,-3.5768433,-4.636426,UnAuthorised
McArdle Rd 282.m4a,0.38882825,0.11225175,1384.6831143911465,1758.4980645755961,2492.6676432291665,0.058299877025462965,-309.6381,108.94292,17.874289,32.623966,18.666245,13.633773,-5.6070075,3.658,-2.9866774,7.121523,-14.751128,7.381592,-4.8939214,-3.749703,0.73311585,2.5307755,-7.454699,-3.1085708,2.6955054,-8.033889,UnAuthorised
McArdle Rd 263.m4a,0.43452096,0.090160444,2213.2190157466002,2218.074207129267,4031.2422902960525,0.10410241913377193,-301.82657,82.25294,3.6035259,17.742233,23.796844,4.1019278,-12.20351,7.9700394,-9.128624,7.604132,-16.051304,2.8735526,-6.020547,-1.6865144,-2.833488,-1.2795355,-12.032839,0.09809894,-4.060181,-4.5927896,UnAuthorised
McArdle Rd 280.m4a,0.3971572,0.09637819,1897.6808370360109,2076.796165270475,3511.4380843996064,0.08968611589566929,-302.1285,88.14797,9.877784,28.77276,19.802942,10.4182205,-10.278974,9.381477,-10.860837,8.670409,-12.282366,-1.1303546,-2.7247596,-4.5930653,-0.90238386,0.36780578,-10.099995,-3.1658628,-3.035229,-5.999635,UnAuthorised
McArdle Rd 258.m4a,0.40579516,0.105538435,2083.622781094998,2177.809195229896,3681.9686741504856,0.09722011529126214,-288.50812,90.06633,12.730887,12.509677,20.98051,11.79248,-18.464201,8.294361,-7.363476,5.5991187,-16.764547,7.6608233,-9.841234,0.19722308,-0.64176965,-2.110854,-11.116318,-0.86848867,-2.8518798,-6.931271,UnAuthorised
McArdle Rd 266.m4a,0.37190196,0.099328645,1930.999100025423,2239.9295069018876,3539.8193359375,0.08241644965277778,-287.96658,101.83547,11.579522,12.071809,29.414076,1.9867212,-13.4941635,8.219559,-7.390224,9.368245,-18.123373,5.9472365,-8.681831,-0.74678296,-3.7768562,0.93939173,-10.961026,-2.317908,-0.47906363,-10.829515,UnAuthorised
McArdle Rd 260.m4a,0.44954076,0.08879474,2009.2654688955568,2167.432910220468,3592.255078125,0.0927265625,-310.2798,92.33458,11.261869,12.670435,27.300035,6.298357,-11.343543,10.488494,-8.517441,7.720129,-12.250753,2.6783352,-5.2297306,0.6469941,-1.2286102,-0.8013811,-10.880504,-1.1076813,-2.95392,-4.046161,UnAuthorised
McArdle Rd 242.m4a,0.422966,0.090983495,1633.118602562276,1666.4560712200132,2778.936767578125,0.0855712890625,-324.152,98.479805,-5.8044496,31.551405,13.627424,9.295863,-13.29083,2.5408337,0.5244408,-4.949223,-4.2197347,-1.8705332,0.9914394,-8.963423,-1.6535375,-0.46384606,-11.45515,-1.4592923,-7.289433,-2.8708136,UnAuthorised
McArdle Rd 274.m4a,0.44470116,0.0913133,1867.4059040442426,2061.243011705721,3357.6755299287684,0.08474551930147059,-314.46597,85.40124,19.623213,27.625443,15.014314,5.5752454,0.3019657,3.8710341,-5.8608513,3.1311283,-10.247487,3.803724,-8.753761,0.5740323,-1.9303255,-0.2729899,-8.016589,-1.3841281,-4.2371736,-6.499728,UnAuthorised
McArdle Rd 268.m4a,0.38303027,0.07614825,1845.2089987851139,2174.040348685536,3622.161925665223,0.07914507271039604,-320.74368,106.30864,21.633736,12.305941,20.927908,0.8593139,-14.122174,12.293277,-11.207482,8.812127,-12.980605,2.7161222,-6.475557,-1.8080661,-6.364037,-0.82735026,-13.652648,-1.2535404,-4.0712094,-6.0004315,UnAuthorised
McArdle Rd 289.m4a,0.43411303,0.10246174,1692.7459961604716,1920.0451688293913,3041.6882231035306,0.08169578959923664,-300.50925,98.23733,6.183258,24.786327,16.99334,11.252161,-9.978043,4.814745,-5.061875,5.0997157,-15.889807,3.5338507,-7.1860714,-0.56393564,0.09298173,-1.7148513,-6.5405188,-5.1061077,0.093722746,-10.320048,UnAuthorised
McArdle Rd 245.m4a,0.4361527,0.09547834,1629.9557605414504,1684.8600329240055,2900.649126838235,0.08823939732142858,-320.85983,107.96845,-9.473373,26.626928,14.330773,7.9775033,-12.911294,1.9777943,1.874793,-4.691455,-4.539581,-1.9860992,-0.9179776,-5.5683894,1.3271829,-3.3610928,-8.298406,-3.6650054,-4.5051117,-4.8282013,UnAuthorised
McArdle Rd 297.m4a,0.37703827,0.101716794,1519.6871932404981,1879.6533022624121,2663.3315142463234,0.06829782694327731,-318.3693,108.801025,13.602028,19.180338,21.828823,10.830198,-7.724626,3.8522964,-3.3908932,5.0503354,-13.25221,3.7035189,-8.67287,-1.129152,-1.0840333,-4.2715025,-10.131079,0.0697888,-4.7713976,-8.69483,UnAuthorised
McArdle Rd 270.m4a,0.4576908,0.097088225,1988.5790352249646,2127.365818838937,3680.1532451923076,0.09796925080128205,-293.09198,91.48915,17.485964,33.516083,17.028425,3.649952,0.26876894,7.4949,-7.0181656,11.109303,-14.371746,6.7722206,-6.896547,-0.0949987,0.9708689,-0.87545717,-7.372387,0.62468624,-4.679439,-6.4455757,UnAuthorised
McArdle Rd 236.m4a,0.4159908,0.0899418,1520.9011676802802,1607.3167714265749,2584.297965336772,0.08247212530339806,-322.41797,109.84964,0.049131077,28.223265,15.139335,10.495439,-14.424184,0.9532044,2.6323717,-6.1606317,-4.3999667,-1.1977416,-3.3343763,-4.358414,-1.4962981,1.7350457,-8.599227,-2.5508626,-4.5404787,-2.3223445,UnAuthorised
McArdle Rd 265.m4a,0.41567242,0.10427702,2493.1139263635446,2212.9652005416046,4309.224609375,0.133427734375,-275.43665,74.87012,-2.3535342,15.938386,24.024147,0.31935,-13.091726,2.5262983,-6.8156285,6.2848077,-16.808275,6.1292095,-8.777457,1.1188681,-6.1775265,-0.54173243,-13.326785,-1.2001834,-2.0137,-9.746567,UnAuthorised
McArdle Rd 80.m4a,0.4375542,0.09469599,1565.9831909862003,1742.8297671609982,2971.4884086277175,0.06597316576086956,-317.6341,93.87388,-10.5368,23.10911,0.07904418,-1.3300474,5.759334,3.0833733,-18.963385,4.055539,-8.358791,-0.14109406,-3.3699348,-7.487965,3.2866032,0.25306398,-6.6752386,-0.119020924,-6.4934754,-4.358463,UnAuthorised
McArdle Rd 90.m4a,0.48659143,0.078915186,1871.7717460727856,2088.383383530495,3974.767406566723,0.0734302417652027,-320.13794,90.90699,-2.9692395,28.160961,12.302298,19.457214,-5.5732293,4.28015,-16.472403,6.7024264,-5.597791,-3.4274635,-2.7257142,-7.8306413,3.952209,0.80381715,0.7206597,0.049945418,-6.954689,-1.0742414,UnAuthorised
McArdle Rd 77.m4a,0.3990258,0.103321,1556.840142765038,1719.299632183366,2951.7213099211167,0.06809864229368932,-287.99313,104.07945,-15.4808235,22.202063,-0.60135835,-6.754224,7.576677,1.8494542,-19.88993,4.5410666,-9.451624,0.010933094,-2.1921256,-7.9773407,3.520078,-0.6487924,-4.7306175,-0.601144,-8.175718,-2.8458166,UnAuthorised
McArdle Rd 95.m4a,0.4441811,0.08509575,1414.7865137598749,1858.8658072270746,2852.677884067062,0.05243142677919708,-332.23367,93.120834,12.314,29.173073,12.479026,16.224352,-3.857822,6.03983,-14.1140585,5.456499,-6.771368,-2.4084606,-5.7371054,-5.0467296,6.1668983,-1.03346,-1.4547888,1.3552674,-4.0685363,-2.1590524,UnAuthorised
McArdle Rd 87.m4a,0.46848682,0.07507707,1709.169600682381,1954.0053123457285,3570.8649666078627,0.07343119959677419,-335.4816,100.809135,0.79547364,28.402712,9.004466,15.315042,-6.122221,3.1784673,-15.831496,6.2950754,-12.412022,-2.8638177,-7.487779,-7.160777,5.5602307,-4.121013,1.021842,-0.29258677,-4.5380597,-3.6965506,UnAuthorised
McArdle Rd 92.m4a,0.44971907,0.09097515,1459.4813900245094,1818.844937269478,2967.1892578125,0.05609765625,-316.25046,98.93848,10.056519,28.132444,12.069729,16.947533,-5.5826187,7.8184958,-15.358331,5.4428797,-7.100677,-4.3589106,-5.118257,-5.2400565,6.755153,-3.9045634,-2.8111162,1.4106102,-4.8351183,-2.0688868,UnAuthorised
McArdle Rd 94.m4a,0.47831216,0.07259086,1426.8138921483908,1845.1884590695063,2931.7001127860917,0.051303917253521125,-339.91394,99.53358,9.644334,30.786415,19.297997,22.037186,-2.8826044,5.4440575,-11.866734,7.7295594,-2.5287247,-3.1699667,-4.9290657,-1.6628048,8.226528,0.53857476,0.12081909,0.98110014,-2.4552002,1.1769671,UnAuthorised
McArdle Rd 72.m4a,0.4225604,0.08187529,1897.8109075716156,2142.0093107124144,4091.793575802365,0.07582435951576577,-320.9407,94.31768,-1.8512176,16.979523,5.6297145,11.187988,-8.466092,-2.344266,-17.144686,5.291606,-17.40491,-4.1039586,-6.7713327,-4.782575,2.744679,-4.5839972,-0.39925903,-3.5184212,-3.8976026,-4.502749,UnAuthorised
McArdle Rd 84.m4a,0.41214064,0.0873868,1920.5874394658904,2156.9188425820025,4057.1582794189453,0.077880859375,-338.87463,73.5442,3.317854,18.713684,0.7768725,6.663651,-0.9381808,-3.5968866,-13.312691,2.7423215,-10.652002,-3.7239869,-5.1600904,-11.171722,1.3068299,-2.480176,-6.491677,6.692667,-8.177644,-1.1943204,UnAuthorised
McArdle Rd 93.m4a,0.47281247,0.07404116,1591.1658586469412,1980.7281321694222,3363.243901334851,0.0560456332781457,-343.11636,91.33898,8.338324,27.88775,14.485824,15.117632,-6.6174016,4.1650343,-13.200844,6.4329863,-6.448905,-4.574688,-5.8767033,-6.3206005,7.369423,-3.5262225,-0.43668962,-0.12005875,-4.368052,-2.0342593,UnAuthorised
McArdle Rd 97.m4a,0.47201627,0.06673906,1431.3255549816647,1818.3308909926768,2796.624755859375,0.05473776424632353,-345.0217,97.29233,5.1480336,29.19976,17.929188,15.829297,-4.283431,2.9351172,-12.887384,6.5784225,-5.464757,-4.075142,-3.02215,-4.63177,5.8346786,-1.5133687,-0.78085035,-0.3828144,-5.2094646,-0.1033512,UnAuthorised
McArdle Rd 99.m4a,0.49032927,0.0650203,1685.213363576602,2066.978663025402,3729.62255859375,0.05880859375,-358.8788,85.71164,7.51424,24.868141,11.728437,16.470198,-5.339422,4.373069,-13.614544,5.83138,-6.8516307,-2.9596643,-4.1372447,-6.3698754,6.1984406,-0.7985329,2.5594075,0.47891712,-3.0505967,-0.7391449,UnAuthorised
McArdle Rd 82.m4a,0.44067472,0.08233401,1444.2121918057162,1756.5488316052708,2754.892865349265,0.05702632615546219,-325.98087,101.81499,0.92833215,23.197056,4.461642,-1.9059094,8.29818,4.564696,-15.831088,1.9061176,-8.786768,-2.2069614,-3.5804794,-7.379523,2.9986773,2.6928108,-2.89149,0.84755445,-7.5174565,-2.7047234,UnAuthorised
McArdle Rd 91.m4a,0.44507188,0.09437725,1416.1975504836125,1770.3764403033801,2820.671649018595,0.05552282412190083,-324.21866,102.91205,9.419929,26.851583,15.01197,16.50797,-7.9119887,3.550771,-17.325901,6.4809065,-9.750845,-3.2111669,-6.1391478,-4.8820877,5.3009872,-4.3390512,-1.4784197,-0.5116629,-5.982897,-2.0513275,UnAuthorised
McArdle Rd 86.m4a,0.4368505,0.07928663,1551.4098812665752,1916.679136158465,3246.172759288878,0.05551027312992126,-344.59717,89.23672,5.2171483,23.396294,8.29511,12.886751,-5.944443,5.552151,-13.722648,3.1616142,-9.176673,-3.1950922,-5.577755,-8.685009,6.7439184,-2.1204448,0.24200013,2.4354837,-6.339393,-1.2577022,UnAuthorised
McArdle Rd 88.m4a,0.41394368,0.09719549,1852.7342999528262,2079.1444754343424,3993.866325827206,0.07582310267857142,-305.0287,88.584816,0.49402368,21.977154,5.704316,10.787997,-10.321694,0.24088621,-19.84261,5.1686506,-10.548993,-5.628017,-5.832418,-8.008374,6.668227,-4.5368547,0.5410335,1.7538483,-9.080903,-1.3775196,UnAuthorised
McArdle Rd 75.m4a,0.44875303,0.095210105,1464.3024912312862,1734.6587980679335,2775.195077749399,0.060208834134615384,-317.50848,97.03734,-8.425823,23.866966,-0.11256115,0.43424928,2.9932218,3.7724767,-16.748318,4.738576,-6.798721,-0.28951627,-1.3988471,-9.502625,4.511488,0.12438202,-5.403234,3.6514494,-7.6052966,-2.0309424,UnAuthorised
McArdle Rd 69.m4a,0.45517954,0.079588,1387.2526783229691,1769.462287594493,2594.417128452035,0.05086452277131783,-348.48947,89.74022,0.5036383,16.318026,5.2776604,0.6588769,1.5786994,5.3236027,-17.289436,3.9275405,-4.474488,-2.5137262,-1.4300311,-8.5454445,2.8719609,1.2040192,-6.73569,-2.831924,-6.0779595,-1.6212415,UnAuthorised
McArdle Rd 79.m4a,0.4216176,0.09413881,1606.3807807595883,1734.6710667897244,3087.8248311705506,0.06798695709745763,-310.51096,95.564644,-11.241785,24.014513,-0.99970335,-0.33377478,6.094103,2.5171125,-19.026218,4.3816957,-8.25584,-1.4991565,-2.8000236,-9.823785,4.0440607,-0.04359247,-4.337637,-0.51434666,-7.166201,-4.0338964,UnAuthorised
McArdle Rd 76.m4a,0.40430894,0.08733808,1588.7707958041667,1778.536730675294,2947.4533081054688,0.06815011160714286,-319.5601,96.139114,-9.2922,21.394535,3.1497076,-3.6240447,3.5338414,4.447337,-20.320925,2.2214131,-9.250483,-2.0431602,-2.6239414,-9.7677555,2.2187572,1.597662,-4.920128,0.49924818,-7.3794684,-3.578853,UnAuthorised
McArdle Rd 53.m4a,0.42400706,0.08275229,1789.2756301328475,2112.191653909281,3859.7867838541665,0.06514395254629629,-328.68182,94.11107,5.861516,25.179989,6.408747,12.5294,-15.13691,0.48949426,-7.5595493,3.2248557,-13.730675,-6.5968747,2.0964437,-13.777808,0.33137444,-3.651403,-6.637498,1.3220237,-4.8682504,-3.236131,UnAuthorised
McArdle Rd 66.m4a,0.39555508,0.10455071,1539.5408524413863,1878.1511410427747,2952.0263671875,0.06143375318877551,-332.57443,73.76556,-6.8442955,10.916196,-0.11982545,-3.0522494,-3.7040942,7.666671,-18.774996,1.7364013,-8.328908,-1.6798838,-2.5662696,-9.327682,1.4884008,-0.62929106,-7.9849358,0.5781228,-6.0658493,-2.037789,UnAuthorised
